ORD_NUM,ORD_AMOUNT,ADVANCE_AMOUNT,ORD_DATE,CUST_CODE,AGENT_CODE,ORD_DESCRIPTION
200100,1000,600,2008-08-01,C00013,A003,SOD
200101,3000,1000,2008-07-15,C00001,A008,SOD
200102,2000,300,2008-05-25,C00012,A012,SOD
200103,1500,700,2008-05-15,C00021,A005,SOD
200104,1500,500,2008-03-13,C00006,A004,SOD
200105,2500,500,2008-07-18,C00025,A011,SOD
200106,2500,700,2008-04-20,C00005,A002,SOD
200107,4500,900,2008-08-30,C00007,A010,SOD
200108,4000,600,2008-02-15,C00008,A004,SOD
200109,3500,800,2008-07-30,C00011,A010,SOD
200110,3000,500,2008-04-15,C00019,A010,SOD
200111,1000,300,2008-07-10,C00020,A008,SOD
200112,2000,400,2008-05-30,C00016,A007,SOD
200113,4000,600,2008-06-10,C00022,A002,SOD
200114,3500,2000,2008-08-15,C00002,A008,SOD
200116,500,100,2008-07-13,C00010,A009,SOD
200117,800,200,2008-10-20,C00014,A001,SOD
200118,500,100,2008-07-20,C00023,A006,SOD
200119,4000,700,2008-09-16,C00007,A010,SOD
200120,500,100,2008-07-20,C00009,A002,SOD
200121,1500,600,2008-09-23,C00008,A004,SOD
200122,2500,400,2008-09-16,C00003,A004,SOD
200123,500,100,2008-09-16,C00022,A002,SOD
200124,500,100,2008-06-20,C00017,A007,SOD
200125,2000,600,2008-10-10,C00018,A005,SOD
200126,500,100,2008-06-24,C00022,A002,SOD
200127,2500,400,2008-07-20,C00015,A003,SOD
200128,3500,1500,2008-07-20,C00009,A002,SOD
200129,2500,500,2008-07-20,C00024,A006,SOD
200130,2500,400,2008-07-30,C00025,A011,SOD
200131,900,150,2008-08-26,C00012,A012,SOD
200133,1200,400,2008-06-29,C00009,A002,SOD
200134,4200,1800,2008-09-25,C00004,A005,SOD
200135,2000,800,2008-09-16,C00007,A010,SOD
